lottoDateTh,lottoDateEn,drawNumber,drawType
25330116,19900116,3992239,1
25330116,19900116,898,2
25330116,19900116,234,3
25330116,19900116,288,4
25330116,19900116,284,5
25330116,19900116,97,6
25330201,19900201,1078496,1
25330201,19900201,756,2
25330201,19900201,481,3
25330201,19900201,259,4
25330201,19900201,104,5
25330201,19900201,82,6
25330216,19900216,3732892,1
25330216,19900216,889,2
25330216,19900216,596,3
25330216,19900216,386,4
25330216,19900216,601,5
25330216,19900216,01,6
25330301,19900301,4968902,1
25330301,19900301,624,2
25330301,19900301,452,3
25330301,19900301,087,4
25330301,19900301,567,5
25330301,19900301,15,6
25330316,19900316,3240205,1
25330316,19900316,443,2
25330316,19900316,275,3
25330316,19900316,775,4
25330316,19900316,559,5
25330316,19900316,88,6
25330401,19900401,4734251,1
25330401,19900401,301,2
25330401,19900401,637,3
25330401,19900401,195,4
25330401,19900401,717,5
25330401,19900401,39,6
25330416,19900416,5092890,1
25330416,19900416,664,2
25330416,19900416,059,3
25330416,19900416,912,4
25330416,19900416,489,5
25330416,19900416,84,6
25330502,19900502,5898868,1
25330502,19900502,186,2
25330502,19900502,644,3
25330502,19900502,668,4
25330502,19900502,078,5
25330502,19900502,01,6
25330516,19900516,5071272,1
25330516,19900516,565,2
25330516,19900516,815,3
25330516,19900516,942,4
25330516,19900516,465,5
25330516,19900516,34,6
25330601,19900601,2355474,1
25330601,19900601,118,2
25330601,19900601,115,3
25330601,19900601,227,4
25330601,19900601,492,5
25330601,19900601,72,6
25330616,19900616,3530344,1
25330616,19900616,878,2
25330616,19900616,144,3
25330616,19900616,198,4
25330616,19900616,371,5
25330616,19900616,65,6
25330701,19900701,1076835,1
25330701,19900701,043,2
25330701,19900701,641,3
25330701,19900701,038,4
25330701,19900701,295,5
25330701,19900701,43,6
25330716,19900716,3814178,1
25330716,19900716,342,2
25330716,19900716,619,3
25330716,19900716,112,4
25330716,19900716,770,5
25330716,19900716,11,6
25330801,19900801,1867185,1
25330801,19900801,579,2
25330801,19900801,070,3
25330801,19900801,973,4
25330801,19900801,445,5
25330801,19900801,92,6
25330816,19900816,1671935,1
25330816,19900816,325,2
25330816,19900816,746,3
25330816,19900816,361,4
25330816,19900816,644,5
25330816,19900816,43,6
25330901,19900901,1622380,1
25330901,19900901,862,2
25330901,19900901,938,3
25330901,19900901,161,4
25330901,19900901,639,5
25330901,19900901,83,6
25330916,19900916,5202390,1
25330916,19900916,461,2
25330916,19900916,211,3
25330916,19900916,085,4
25330916,19900916,747,5
25330916,19900916,55,6
25331001,19901001,5738808,1
25331001,19901001,043,2
25331001,19901001,977,3
25331001,19901001,058,4
25331001,19901001,748,5
25331001,19901001,37,6
25331016,19901016,5626303,1
25331016,19901016,351,2
25331016,19901016,928,3
25331016,19901016,923,4
25331016,19901016,431,5
25331016,19901016,56,6
25331101,19901101,4380230,1
25331101,19901101,694,2
25331101,19901101,516,3
25331101,19901101,619,4
